drugpubchemblsubstance;pubchemblsubstance_detail
1335;46505932
1336;46508263
1337;46507111
1338;46505564
1339;46507341
1340;46507726
1341;46507368
1342;46506668
1343;46504505
1344;46504520
1345;46508106
1346;46507519
1347;46506467
1348;46508247
1349;46504719
1350;46507003
1351;46509060
1352;46506781
1353;46506137
1354;46507224
1355;46505688
1356;46508799
1357;175426853
1358;46504895
1359;46508987
1360;46508114
1361;46508928
1362;46505914
1363;46506059
1364;46504857
1365;46507414
1366;46508303
1367;46507550
1368;46504917
1369;46507555
1370;46508374
1371;46508091
1372;46505474
1373;46509091
1374;46508249
1375;46504877
1376;46508549
1377;46504946
1378;46508570
1379;46504653
1380;46505413
1381;46508824
1382;46506872
1383;46508850
1384;46505388
1385;46507878
1386;46505205
1387;46506401
1388;46507079
1389;46506619
1390;46505763
1391;46504790
1392;46508341
1393;46505510
1394;46506674
1395;46505569
1396;46507966
1397;46506438
1398;46506076
1399;46508429
1400;46505587
1401;46507999
1402;46507820
1403;46508218
1404;46508408
1405;46508993
1406;46506824
1407;46507085
1408;46507490
1409;46506130
1410;46505003
1411;46506464
1412;46506561
1413;46507899
1414;46506480
1415;46508018
1416;46506699
1417;46504930
1418;46508491
1419;46507589
1420;46508360
1421;46507936
1422;46507854
1423;46507688
1424;46508779
1425;46504971
1426;46508612
1427;46504516
1428;46505967
1429;46504829
1430;46508963
1431;46508473
1432;46507094
1433;46508625
1434;46507388
1435;46505464
1436;46506098
1437;46507184
1438;46509184
1439;46506762
1440;46509064
1441;46504979
1442;46506466
1443;46507856
1444;46507101
1445;46504778
1446;46508853
1447;46507292
1448;46507422
1449;46507148
1450;46508308
1451;46509162
1452;46508980
1453;46506036
1454;46507811
1455;46508285
1456;46504927
1457;46506331
1458;46507150
1459;46508691
1460;46507592
1461;46506555
1462;46506459
1463;46507866
1464;46508361
1465;46508532
1466;46507454
1467;46507784
1468;46504491
1469;46508828
1470;46505465
1471;46505452
1472;46505499
1473;46506104
1474;46507276
1475;46505173
1476;46504489
