association_id;atc_id_id;drug_id_id
23298;L01BB03;DB00352
23299;G02AC01;DB00353
23300;G02AB01;DB00353
23301;R06AE51;DB00354
23302;R06AE01;DB00354
23303;M03BB03;DB00356
23304;M03BB53;DB00356
23305;M03BB73;DB00356
23306;L02BG01;DB00357
23307;P01BF02;DB00358
23308;P01BC02;DB00358
23309;J01EE06;DB00359
23310;J01EC02;DB00359
23311;G01AE10;DB00359
23312;J01EE02;DB00359
23313;A16AX07;DB00360
23314;L01CA04;DB00361
23315;N05AH02;DB00363
23316;A02BX02;DB00364
23317;J01MA11;DB00365
23318;R06AA09;DB00366
23319;R06AA59;DB00366
23320;G03AB03;DB00367
23321;G03AD01;DB00367
23322;G03AC03;DB00367
23323;G03FB09;DB00367
23324;G03AA07;DB00367
23325;G03FA11;DB00367
23326;C01CA03;DB00368
23327;J05AB12;DB00369
23328;N06AX11;DB00370
23329;N05BC51;DB00371
23330;N05CX01;DB00371
23331;N05BC01;DB00371
23332;R06AD03;DB00372
23333;C07AA06;DB00373
23334;S01ED51;DB00373
23335;C07BA06;DB00373
23336;C07DA06;DB00373
23337;S01ED01;DB00373
23338;B01AC21;DB00374
23339;N04AA01;DB00376
23340;A04AA55;DB00377
23341;A04AA05;DB00377
23342;G03FA14;DB00378
23343;G03DB01;DB00378
23344;G03FB08;DB00378
23345;C01BB02;DB00379
23346;V03AF02;DB00380
23347;C09XA54;DB00381
23348;C10BX07;DB00381
23349;C09BB03;DB00381
23350;C09BB04;DB00381
23351;C07FB07;DB00381
23352;C09DB06;DB00381
23353;C07FB12;DB00381
23354;C09DB05;DB00381
23355;C09XA53;DB00381
23356;C10BX03;DB00381
23357;C07FB13;DB00381
23358;C08CA01;DB00381
23359;C09BX04;DB00381
23360;C09BX03;DB00381
23361;C09DB04;DB00381
23362;C09DX03;DB00381
23363;C08GA02;DB00381
23364;C09DB07;DB00381
23365;C09DX06;DB00381
23366;C09BX01;DB00381
23367;C10BX11;DB00381
23368;C09DB02;DB00381
23369;C10BX09;DB00381
23370;C08CA51;DB00381
23371;C09DX01;DB00381
23372;C09DB09;DB00381
23373;C09DB01;DB00381
23374;C10BX14;DB00381
23375;C09BB07;DB00381
23376;C09DX07;DB00381
23377;N06DA01;DB00382
23378;A03AA01;DB00383
23379;A03CA03;DB00383
23380;C03DB02;DB00384
23381;L01DB09;DB00385
23382;N04AA04;DB00387
23383;S01FB01;DB00388
23384;R01AB01;DB00388
23385;C01CA06;DB00388
23386;R01AA04;DB00388
23387;S01FB51;DB00388
23388;R01BA53;DB00388
23389;S01GA05;DB00388
23390;S01GA55;DB00388
23391;R01BA03;DB00388
23392;H03BB01;DB00389
23393;C01AA05;DB00390
23394;N05AL01;DB00391
23395;N04AA05;DB00392
23396;C08CA06;DB00393
23397;D07CC04;DB00394
23398;R03AL09;DB00394
23399;R03BA01;DB00394
23400;D07AC15;DB00394
23401;R03AK08;DB00394
23402;R03AK13;DB00394
23403;R01AD01;DB00394
23404;A07EA07;DB00394
23405;M03BA02;DB00395
23406;M03BA72;DB00395
23407;M03BA52;DB00395
23408;G03FA04;DB00396
23409;G03DA04;DB00396
23410;R01BA51;DB00397
23411;R01BA01;DB00397
23412;L01XE05;DB00398
23413;M05BB08;DB00399
23414;M05BA08;DB00399
23415;D01BA01;DB00400
23416;D01AA08;DB00400
23417;C08CA07;DB00401
23418;N05CF04;DB00402
23419;V04CC04;DB00403
23420;N05BA12;DB00404
23421;R06AB06;DB00405
23422;R06AB56;DB00405
23423;G01AX09;DB00406
23424;D01AE02;DB00406
23425;N05AH01;DB00408
23426;N05AL04;DB00409
23427;N07AB01;DB00411
23428;S01EB02;DB00411
23429;A10BD04;DB00412
23430;A10BG02;DB00412
23431;A10BD03;DB00412
23432;N04BC05;DB00413
23433;A10BB31;DB00414
23434;J01CR50;DB00415
23435;J01CA51;DB00415
23436;J01CA01;DB00415
23437;S01AA19;DB00415
23438;J01CR50;DB00417
23439;J01CE10;DB00417
23440;J01CE02;DB00417
23441;N05CB01;DB00418
23442;N05CA06;DB00418
23443;A16AX06;DB00419
23444;N05AA03;DB00420
23445;C03DA01;DB00421
23446;N06BA04;DB00422
23447;M03BA73;DB00423
23448;M03BA03;DB00423
23449;M03BA53;DB00423
23450;A03BA03;DB00424
23451;A03CB31;DB00424
23452;N05CF02;DB00425
23453;J05AB09;DB00426
23454;S01AD07;DB00426
23455;R06AX07;DB00427
23456;L01AD04;DB00428
23457;G02AD04;DB00429
23458;J01DD11;DB00430
23459;P03AB02;DB00431
23460;L01BC59;DB00432
23461;S01AD02;DB00432
23462;N05AB04;DB00433
23463;R06AX02;DB00434
23464;R07AX01;DB00435
23465;C03AB01;DB00436
23466;C03EA13;DB00436
23467;G01AE10;DB00436
23468;C03AA01;DB00436
23469;M04AA01;DB00437
23470;M04AA51;DB00437
23471;J01DD02;DB00438
23472;C10AA06;DB00439
23473;J01EE03;DB00440
23474;J01EA01;DB00440
23475;J04AM08;DB00440
23476;J01EE01;DB00440
23477;J01EE04;DB00440
23478;J01EE02;DB00440
23479;J01EE05;DB00440
23480;J01EE07;DB00440
23481;L01BC05;DB00441
23482;R01AD06;DB00443
23483;D07BC01;DB00443
23484;S01BA06;DB00443
23485;S01BB04;DB00443
23486;S01CB04;DB00443
23487;H02AB01;DB00443
23488;C05AA05;DB00443
23489;S03CA06;DB00443
23490;D07XC01;DB00443
23491;D07AC01;DB00443
23492;A07EA04;DB00443
23493;S02BA07;DB00443
23494;R03BA04;DB00443
23495;S03BA03;DB00443
23496;S01CA05;DB00443
23497;D07CC01;DB00443
23498;L01CB02;DB00444
23499;L01DB03;DB00445
23500;D06AX02;DB00446
23501;S02AA01;DB00446
23502;D10AF03;DB00446
23503;S01AA01;DB00446
23504;G01AA05;DB00446
23505;J01BA01;DB00446
23506;S03AA08;DB00446
23507;J01DC08;DB00447
23508;A02BC03;DB00448
23509;A02BD02;DB00448
23510;A02BD07;DB00448
23511;A02BD09;DB00448
23512;A02BD10;DB00448
23513;A02BD03;DB00448
23514;A02BC53;DB00448
23515;S01EA02;DB00449
23516;N05AD08;DB00450
23517;H03AA01;DB00451
23518;D09AA01;DB00452
23519;R01AX08;DB00452
23520;S01AA07;DB00452
23521;N02AB02;DB00454
23522;N02AB72;DB00454
23523;N02AB52;DB00454
23524;N02AG03;DB00454
23525;R06AX13;DB00455
23526;J01DB03;DB00456
23527;C02LE01;DB00457
23528;C02CA01;DB00457
23529;N06AA02;DB00458
23530;D05BB02;DB00459
23531;M01AX01;DB00461
23532;N03AA30;DB00463
23533;C05BB04;DB00464
23534;M01AB15;DB00465
23535;S01FB51;DB00465
23536;S01BC05;DB00465
23537;J01MA04;DB00467
23538;M09AA72;DB00468
23539;P01BC01;DB00468
23540;M01AC02;DB00469
23541;A04AD10;DB00470
23542;R03DC03;DB00471
23543;R03DC53;DB00471
23544;N06CA03;DB00472
23545;N06AB03;DB00472
23546;N05CB01;DB00474
23547;N01AF01;DB00474
23548;N05CA15;DB00474
23549;N05BA02;DB00475
23550;N06AX21;DB00476
23551;N05AA01;DB00477
23552;L04AX04;DB00480
23553;G03XC01;DB00481
23554;M01AH01;DB00482
23555;G01AE10;DB00482
23556;L01XX33;DB00482
23557;C08CA51;DB00482
23558;D11AX21;DB00484
23559;S01EA05;DB00484
23560;J01CR50;DB00485
23561;J01CF01;DB00485
23562;A04AD11;DB00486
23563;J01MA03;DB00487
23564;C07AA07;DB00489
23565;C07BA07;DB00489
23566;C07FX02;DB00489
23567;N05BE01;DB00490
23568;A10BF02;DB00491
23569;C09BA09;DB00492
23570;C09AA09;DB00492
23571;J01DD01;DB00493
23572;N04BX02;DB00494
23573;J05AR04;DB00495
23574;J05AF01;DB00495
23575;J05AR05;DB00495
23576;J05AR01;DB00495
23577;G04BD10;DB00496
23578;N02AA56;DB00497
23579;N02AA05;DB00497
23580;N02AA55;DB00497
23581;N02AJ18;DB00497
23582;N02AJ17;DB00497
23583;N02AJ19;DB00497
23584;B01AA02;DB00498
23585;L02BB01;DB00499
23586;M01AB03;DB00500
23587;M02AA21;DB00500
23588;A02BA51;DB00501
23589;A02BA01;DB00501
23590;N05AD01;DB00502
23591;J05AP53;DB00503
23592;J05AR10;DB00503
23593;J05AE03;DB00503
23594;J05AR23;DB00503
23595;J05AR26;DB00503
23596;J05AP52;DB00503
23597;A03AB08;DB00505
23598;N05AA05;DB00508
23599;C10AX01;DB00509
23600;C01AA01;DB00511
23601;J01XA01;DB00512
23602;A07AA09;DB00512
23603;S01AA28;DB00512
23604;B02AA01;DB00513
23605;R05DA09;DB00514
23606;N07XX59;DB00514
23607;L01XA01;DB00515
23608;P02CA03;DB00518
23609;C09AA10;DB00519
23610;C09BB10;DB00519
23611;J02AX04;DB00520
23612;S01ED55;DB00521
23613;S01ED05;DB00521
23614;C07AA15;DB00521
23615;V04CK03;DB00522
23616;D11AH04;DB00523
23617;C03EA12;DB00524
23618;G01AE10;DB00524
23619;C03BA08;DB00524
23620;L01XA03;DB00526
23621;D04AB02;DB00527
23622;S01HA06;DB00527
23623;S02DA04;DB00527
23624;N01BB06;DB00527
23625;C05AD04;DB00527
23626;C09DB08;DB00528
23627;C09BB02;DB00528
23628;C08CA13;DB00528
23629;J05AD01;DB00529
23630;L01XE03;DB00530
23631;L01AA01;DB00531
23632;N03AB04;DB00532
23633;N03AB54;DB00532
23634;M01AH02;DB00533
23635;J01DD15;DB00535
23636;J01RA11;DB00537
23637;S03AA07;DB00537
23638;J01MA02;DB00537
23639;S02AA15;DB00537
23640;J01RA10;DB00537
23641;J01RA12;DB00537
23642;S01AE03;DB00537
23643;L02BA02;DB00539
23644;N06AA10;DB00540
23645;L01CA02;DB00541
23646;C09BA07;DB00542
23647;C09AA07;DB00542
23648;N06AA17;DB00543
23649;L01BC52;DB00544
23650;L01BC02;DB00544
23651;N07AA02;DB00545
23652;N05BA07;DB00546
23653;D07AC03;DB00547
23654;D07XC02;DB00547
23655;D10AX03;DB00548
23656;R03DC01;DB00549
23657;H03BA02;DB00550
23658;G04BX03;DB00551
23659;L01XX08;DB00552
23660;D05BA02;DB00553
23661;D05AD02;DB00553
23662;M01AC01;DB00554
23663;M02AA07;DB00554
23664;S01BC06;DB00554
23665;N03AX09;DB00555
23666;N05BB01;DB00557
23667;N05BB51;DB00557
23668;J05AH01;DB00558
23669;G01AE10;DB00559
23670;C02KX01;DB00559
23671;R07AB01;DB00561
23672;G01AE10;DB00562
23673;L04AX03;DB00563
23674;L01BA01;DB00563
23675;N03AF01;DB00564
23676;M03AC11;DB00565
23677;J01DB01;DB00567
23678;N07CA52;DB00568
23679;N07CA02;DB00568
23680;B01AX05;DB00569
23681;L01CA01;DB00570
23682;C07FX01;DB00571
23683;C07AA05;DB00571
23684;C07BA05;DB00571
23685;S01FA01;DB00572
23686;A03CB03;DB00572
23687;A03BA01;DB00572
23688;M01AE04;DB00573
23689;A08AA02;DB00574
23690;S01EA04;DB00575
23691;C02LC01;DB00575
23692;C02AC01;DB00575
23693;N02CX02;DB00575
23694;C02LC51;DB00575
23695;J01EB02;DB00576
23696;B05CA04;DB00576
23697;G01AE10;DB00576
23698;S01AB01;DB00576
23699;D06BA04;DB00576
23700;J05AB11;DB00577
23701;J01CR50;DB00578
23702;J01CA03;DB00578
23703;A08AA05;DB00579
23704;M01AH03;DB00580
23705;J02AC03;DB00582
23706;A16AA01;DB00583
23707;C09BA02;DB00584
23708;C09BB06;DB00584
23709;C09BB02;DB00584
23710;C09AA02;DB00584
23711;A02BA04;DB00585
23712;S01CC01;DB00586
23713;S01BC03;DB00586
23714;M01AB55;DB00586
23715;M02AA15;DB00586
23716;M01AB05;DB00586
23717;D11AX18;DB00586
23718;G02CB02;DB00589
23719;N02CA07;DB00589
23720;C02CA04;DB00590
23721;S01CA10;DB00591
23722;D07BC02;DB00591
23723;S02BA08;DB00591
23724;C05AA10;DB00591
23725;S01BA15;DB00591
23726;D07AC04;DB00591
23727;S02CA05;DB00591
23728;D07CC02;DB00591
23729;P02CB01;DB00592
23730;N03AD01;DB00593
23731;N03AD51;DB00593
23732;C03DB01;DB00594
23733;J01AA06;DB00595
23734;S01AA04;DB00595
23735;J01AA56;DB00595
23736;D06AA03;DB00595
23737;G01AA07;DB00595
23738;J01AA20;DB00595
23739;D07AC21;DB00596
23740;C07BG01;DB00598
23741;C07CG01;DB00598
23742;C07AG01;DB00598
