interaction_id;actions;known_action;interaction_type;pubmed_ids;drug_bankID_id;uniprot_ID_id
15003;inhibitor;no;enzyme;nan;DB06692;P06276
15004;inhibitor;yes;target;12433810|12518039|12671581|12677170|12852453|11752352|10592235;DB06693;P04035
15005;inhibitor;unknown;enzyme;16081098;DB06693;P23141
15006;agonist;yes;target;20030735|2868542;DB06694;P08913
15007;agonist;yes;target;20030735;DB06694;P18089
15008;agonist|partial agonist;yes;target;8894610|20030735;DB06694;P35348
15009;agonist;unknown;target;20030735;DB06694;P35368
15010;agonist;unknown;target;20030735;DB06694;P25100
15011;agonist;unknown;target;20030735;DB06694;P18825
15012;inhibitor;yes;target;19756950|17061960|20424539|17598008|20551237|20671233;DB06695;P00734
15013;binder;unknown;carrier;33034105;DB06695;P02768
15014;substrate;unknown;enzyme;23239178|24212379;DB06695;P23141
15015;substrate;unknown;enzyme;23239178|24212379;DB06695;O00748
15016;substrate;unknown;enzyme;20551237;DB06695;P54855
15017;substrate;unknown;enzyme;20551237;DB06695;O60656
15018;inhibitor;unknown;enzyme;22494098;DB06695;P16083
15019;substrate;unknown;enzyme;20551237;DB06695;P16662
15020;substrate;unknown;transporter;21327511|23292752|21972820|22348256|22946890|23210726|25616425|30659778;DB06695;P08183
15021;substrate|inducer;unknown;enzyme;10546925|10456492;DB06697;P08684
15022;substrate;unknown;enzyme;28673292;DB06697;P20815
15023;substrate|inducer;unknown;enzyme;18350255|27709010;DB06697;P20813
15024;substrate;unknown;enzyme;23441978;DB06697;P11712
15025;substrate|inducer;unknown;enzyme;18350255|11432537;DB06697;P33261
15026;agonist;yes;target;18447604|11700150|19300572;DB06698;P35367
15027;antagonist;yes;target;18447604|11700150|20530654|19300572;DB06698;Q9Y5N1
15028;antagonist;yes;target;20110043|20053189|19450172|15705170;DB06699;P30968
15029;inhibitor;yes;target;16675639|17673606|19698900|19086875|20944767|19919295;DB06700;P23975
15030;inhibitor;yes;target;16675639|17673606|19698900|19086875|20944767|19919295;DB06700;P31645
15031;inhibitor;unknown;target;20944767;DB06700;Q01959
15032;substrate|inhibitor;unknown;enzyme;22098230;DB06700;P08684
15033;inhibitor;unknown;enzyme;nan;DB06700;P10635
15034;inhibitor;yes;target;18480678|9181638|11862378|10025684|10037500|10199939|10403500|10414438|11752352|9537821|15303308|18698001;DB06701;Q01959
15035;inhibitor;yes;target;18480678|9181638|11862378|15322419|17218796|16246598|17611273|11160413|9537821|18698001;DB06701;P23975
15036;inhibitor;unknown;target;10199939|10414438|17154506;DB06701;P31645
15037;antagonist;yes;target;11752352|12076307;DB06702;P20309
15038;antagonist;unknown;target;19029429;DB06702;P08173
15039;antagonist;unknown;target;12076307;DB06702;P11229
