drugchembl;chembl_detail
1201;CHEMBL2106755
1202;CHEMBL154111
1203;CHEMBL278020
1204;CHEMBL1764
1205;CHEMBL277100
1206;CHEMBL1479
1207;CHEMBL49080
1208;CHEMBL521589
1209;CHEMBL1900528
1210;CHEMBL2040682
1211;CHEMBL21333
1212;CHEMBL1114
1213;CHEMBL186
1214;CHEMBL2110602
1215;CHEMBL1605
1216;CHEMBL397420
1217;CHEMBL345524
1218;CHEMBL1170
1219;CHEMBL1454910
1220;CHEMBL288470
1221;CHEMBL290194
1222;CHEMBL2357792
1223;CHEMBL12856
1224;CHEMBL1625
1225;CHEMBL1213033
1226;CHEMBL1183717
1227;CHEMBL3185133
1228;CHEMBL170179
1229;CHEMBL277474
1230;CHEMBL1601669
1231;CHEMBL1102
1232;CHEMBL1242
1233;CHEMBL2365680
1234;CHEMBL1342
1235;CHEMBL126506
1236;CHEMBL2106265
1237;CHEMBL416526
1238;CHEMBL459324
1239;CHEMBL43048
1240;CHEMBL1743203
1241;CHEMBL7010
1242;CHEMBL1712170
1243;CHEMBL278663
1244;CHEMBL2111152
1245;CHEMBL444
1246;CHEMBL12420
1247;CHEMBL279676
1248;CHEMBL290429
1249;CHEMBL274826
1250;CHEMBL292821
1251;CHEMBL209073
1252;CHEMBL13280
1253;CHEMBL281786
1254;CHEMBL1719398
1255;CHEMBL1595
1256;CHEMBL277062
1257;CHEMBL1697737
